# AMPL Data File for Water Network Sensor Placement
# Generated automatically from EPANET network file
# Date: 2025-11-15 13:17:41

# ===== PARAMETERS (Scalars) =====

param num_nodes := 97;
param num_attack_nodes := 97;
param num_edges := 119;
param num_patterns := 25;
param flow_threshold := 0.01;

# ===== SETS =====

set NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96;

set ATTACK_NODES := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96;

set PATTERNS := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;

set EDGES := 
  (88,52)
  (0,90)
  (51,91)
  (96,92)
  (1,2)
  (2,3)
  (2,4)
  (4,5)
  (3,6)
  (6,7)
  (9,7)
  (7,8)
  (9,8)
  (5,9)
  (8,47)
  (81,4)
  (9,10)
  (11,12)
  (12,10)
  (13,12)
  (13,11)
  (14,13)
  (13,15)
  (15,16)
  (52,16)
  (16,17)
  (17,18)
  (17,19)
  (19,20)
  (21,20)
  (25,21)
  (22,20)
  (23,22)
  (23,24)
  (24,26)
  (26,27)
  (15,27)
  (11,26)
  (11,28)
  (28,29)
  (29,30)
  (30,31)
  (31,32)
  (32,33)
  (82,35)
  (34,35)
  (44,55)
  (35,36)
  (36,37)
  (85,36)
  (89,40)
  (40,38)
  (38,39)
  (39,41)
  (90,39)
  (43,42)
  (41,43)
  (42,56)
  (55,43)
  (45,41)
  (45,44)
  (35,84)
  (46,44)
  (83,45)
  (46,47)
  (47,48)
  (30,48)
  (49,46)
  (7,49)
  (37,50)
  (50,53)
  (53,54)
  (50,86)
  (56,58)
  (58,57)
  (87,58)
  (57,59)
  (59,60)
  (60,61)
  (61,62)
  (62,63)
  (63,64)
  (64,65)
  (64,66)
  (62,67)
  (67,68)
  (61,69)
  (69,67)
  (69,70)
  (70,71)
  (71,72)
  (71,73)
  (70,74)
  (73,74)
  (73,77)
  (91,77)
  (77,76)
  (77,75)
  (74,75)
  (12,78)
  (78,79)
  (79,81)
  (78,80)
  (10,80)
  (80,81)
  (82,83)
  (47,83)
  (84,45)
  (40,85)
  (86,87)
  (86,56)
  (31,82)
  (53,87)
  (84,85)
  (94,14)
  (92,93)
  (93,94)
  (95,1)
  (92,94)
;

# Node index to name mapping
param node_name :=
  0  1
  1  10
  2  101
  3  103
  4  105
  5  107
  6  109
  7  111
  8  113
  9  115
  10  117
  11  119
  12  120
  13  121
  14  123
  15  125
  16  127
  17  129
  18  131
  19  139
  20  141
  21  143
  22  145
  23  147
  24  149
  25  15
  26  151
  27  153
  28  157
  29  159
  30  161
  31  163
  32  164
  33  166
  34  167
  35  169
  36  171
  37  173
  38  177
  39  179
  40  181
  41  183
  42  184
  43  185
  44  187
  45  189
  46  191
  47  193
  48  195
  49  197
  50  199
  51  2
  52  20
  53  201
  54  203
  55  204
  56  205
  57  206
  58  207
  59  208
  60  209
  61  211
  62  213
  63  215
  64  217
  65  219
  66  225
  67  229
  68  231
  69  237
  70  239
  71  241
  72  243
  73  247
  74  249
  75  251
  76  253
  77  255
  78  257
  79  259
  80  261
  81  263
  82  265
  83  267
  84  269
  85  271
  86  273
  87  275
  88  3
  89  35
  90  40
  91  50
  92  60
  93  601
  94  61
  95  Lake
  96  River
;

# ===== ALPHA: Attack probabilities [i,p] =====
# alpha[i,p] = probability of attack at node i under pattern p

param alpha : 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 :=
